filter_name,mappings
csw-fmc-org,10.129.0.2/32
csw-fmc-org,192.168.208.7/32
csw-fmc-org,10.96.0.1/32
csw-fmc-org,10.189.0.44/32
csw-fmc-org,10.0.223.13/32
csw-fmc-org,172.26.0.223/32
csw-fmc-org,172.29.0.37/32
csw-fmc-org,173.36.206.13/32
csw-fmc-org,192.168.3.17/32
csw-fmc-org,192.168.108.26/32
csw-fmc-org,10.67.0.170/32
csw-fmc-org,10.130.3.14/32
csw-fmc-org,172.26.0.245/32
csw-fmc-org,10.129.2.1/23
csw-fmc-org,192.168.25.15/24
csw-fmc-org,10.0.1.31/32
csw-fmc-org,10.0.113.15/32
csw-fmc-org,172.16.101.21/32
csw-fmc-org,172.20.0.140/32
csw-fmc-org,10.110.0.100/32
csw-fmc-org,10.110.0.164/32
csw-fmc-org,10.111.3.6/32
csw-fmc-org,172.20.11.139/32
csw-fmc-org,172.29.0.23/32
csw-fmc-org,10.67.0.21/32
csw-fmc-org,10.115.5.10/32
csw-fmc-org,34.69.98.77/32
csw-fmc-org,172.16.102.16/32
csw-fmc-org,192.168.2.104/32
csw-fmc-org,172.16.100.204/32
csw-fmc-org,10.255.7.190/32
csw-fmc-org,10.224.0.100/16
csw-fmc-org,192.168.108.28/32
csw-fmc-org,172.26.0.39/32
csw-fmc-org,172.29.0.36/32
csw-fmc-org,173.36.206.12/32
csw-fmc-org,192.168.1.5/24
csw-fmc-org,10.67.0.131/32
csw-fmc-org,10.67.1.36/32
csw-fmc-org,34.120.130.104/32
csw-fmc-org,192.168.25.13/32
csw-fmc-org,192.168.50.6/32
csw-fmc-org,10.255.11.15/24
csw-fmc-org,10.224.0.143/32
csw-fmc-org,172.26.0.55/32
csw-fmc-org,10.0.3.13/32
csw-fmc-org,192.168.108.41/32
csw-fmc-org,10.40.100.75/32
csw-fmc-org,10.120.213.12/32
csw-fmc-org,172.20.10.39/32
csw-fmc-org,192.168.100.1/32
csw-fmc-org,10.0.223.17/32
csw-fmc-org,10.110.0.36/32
csw-fmc-org,10.111.1.4/32
csw-fmc-org,10.120.213.15/32
csw-fmc-org,192.168.1.1/32
csw-fmc-org,192.168.2.50/32
csw-fmc-org,192.168.3.19/32
csw-fmc-org,192.168.19.99/32
csw-fmc-org,192.168.1.54/24
